Date,Open,High,Low,Close,detail,dt_percent,Volume
2022:08:29,1751.485,1765.575,1749.995,1758.43,6.945,40,82790
2022:08:26,1747.98,1755.94,1742.515,1751.485,3.505,20,85457
2022:08:25,1735.88,1754.11,1730.9,1747.98,12.1,70,90678
2022:08:24,1747.5,1749.09,1727.85,1735.88,-11.62,-66,89142
2022:08:23,1758.42,1759.355,1745.585,1747.5,-10.92,-62,77294
2022:08:22,1762.24,1772.465,1755.49,1758.42,-3.82,-22,85226
2022:08:19,1775.825,1782.4,1759.86,1762.24,-13.585,-76,92091
2022:08:18,1779.56,1783.195,1771.52,1775.825,-3.735,-21,69076
2022:08:17,1802.025,1802.375,1773.055,1779.56,-22.465,-125,82034
2022:08:16,1789.505,1802.18,1784.965,1802.025,12.52,70,78677
2022:08:15,1792.285,1799.42,1783.59,1789.505,-2.78,-16,89468
2022:08:12,1794.4,1807.96,1787.606,1792.285,-2.115,-12,98223
2022:08:11,1789.24,1800.47,1783.31,1794.4,5.16,29,70681
2022:08:10,1775.8,1790.045,1771.22,1789.24,13.44,76,75301
2022:08:09,1790.966,1794.945,1765.05,1775.8,-15.166,-85,97224
2022:08:08,1765.37,1794.96,1763.335,1790.966,25.596,145,78513
2022:08:05,1760.91,1772.835,1754.35,1765.37,4.46,25,88720
2022:08:04,1772.12,1788.12,1760.515,1760.91,-11.21,-63,116469
2022:08:03,1766.26,1775.38,1758.405,1772.12,5.86,33,98885
2022:08:02,1756.11,1767.99,1752.415,1766.26,10.15,58,110236
2022:08:01,1734.625,1757.065,1734.185,1756.11,21.485,124,130871
2022:07:29,1717.465,1740.34,1711.56,1734.625,17.16,100,92012
2022:07:28,1719.875,1728.225,1713.705,1717.465,-2.41,-14,75610
2022:07:27,1727.66,1736.3,1714.8,1719.875,-7.785,-45,81598
2022:07:26,1719.16,1739.355,1712.96,1727.66,8.5,49,95148
2022:07:25,1696.835,1720.25,1680.935,1719.16,22.325,132,104791
